user_id,product_id,aisle_id,department_id,product_name,is_ordered_history,index_in_order_history,order_size_history,reorder_size_history,order_number_history,label
1,17122,24,4,Honeycrisp Apples,0 0 0 0 1 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,0
1,196,77,7,Soda,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,1
1,26405,54,17,XL Pick-A-Size Paper Towel Rolls,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,0
1,14084,91,16,Organic Unsweetened Vanilla Almond Milk,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,0
1,46149,77,7,Zero Calorie Cola,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,1
1,26088,23,19,Aged White Cheddar Popcorn,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,0
1,13032,121,14,Cinnamon Toast Crunch,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,1
1,12427,23,19,Original Beef Jerky,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,1
1,25133,21,16,Organic String Cheese,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,1
1,10258,117,19,Pistachios,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,1
1,30450,88,13,Creamy Almond Butter,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0,1 2 3 4 5 6 7 8 9 10,0
