user_id,order_ids,order_numbers,product_ids,aisle_ids,department_ids,reorders
1,2539329 2398795 473747 2254736 431534 3367565 550135 3108588 2295261 2550362,1 2 3 4 5 6 7 8 9 10,196_14084_12427_26088_26405 196_10258_12427_13176_26088_13032 196_12427_10258_25133_30450 196_12427_10258_25133_26405 196_12427_10258_25133_10326_17122_41787_13176 196_12427_10258_25133 196_10258_12427_25133_13032 12427_196_10258_25133_46149_49235 49235_46149_25133_196_10258_12427 196_46149_39657_38928_25133_10258_35951_13032_12427,77_91_23_23_54 77_117_23_24_23_121 77_23_117_21_88 77_23_117_21_54 77_23_117_21_24_24_24_24 77_23_117_21 77_117_23_21_121 23_77_117_21_77_53 53_77_21_77_117_23 77_77_45_120_21_117_91_121_23,7_16_19_19_17 7_19_19_4_19_14 7_19_19_16_13 7_19_19_16_17 7_19_19_16_4_4_4_4 7_19_19_16 7_19_19_16_14 19_7_19_16_7_16 16_7_16_7_19_19 7_7_19_16_16_19_16_14_19,0_0_0_0_0 0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0 0_0_0_0_0 0_0_0_0_0_0 0_0_0_0_0_0 0_0_0_0_0_0_0_0_0
2,2168274 1501582 1901567 738281 1673511 1199898 3194192 788338 1718559 1447487 1402090 3186735 3268552 839880,1 2 3 4 5 6 7 8 9 10 11 12 13 14,32792_47766_20574_12000_48110_22474_16589_35917_27344_30489_27966_13176_45066 16797_47526_8479_47766_19051_8138 47766_32792_20574_7781_28874 49451_32792_32139_34688_36735_37646_22829_24852_47209_33276_45613_9681_21150 47144_5322_17224_38656_21376_48210_5907_14553_47553_22124_19156_1559_47766 32792_12000_9681_32139_32052_27344_24852_45066_27966_47209_36735_46676_33754_17872_18523_24954_4957_40571_41787_19051_33276 32792_12000_16589_32052_19051_32139_47209_24852_46886_40198_17758_45066_41787_34688 32792_28918_24852_34688_48110_47209_32052_17758_40198_46886_22963_23_20084_2002_5212_14306 32792_24852_12000_21376_2002_7781_13742_18961_15841_33754_22124_19156_1559_13351_18523_17872_5450_22474_48099_49273_47792_45613_9124_22559_33957_27737 24852_12000_47209_17872_18523_1559_19156_2002_2573 32792_4071_19051_19156_18523_1559_22124_33754_22474_16589_32139_8296_47209_2002_21227 32792_47209_22124_19156_1559_13351_3151_19240_21709_10305_24990_18523_36735_22963_33754_16589_36287_42356_12258 42342_30908_79_5869_44303_16521_39877_19057_45948 24852_16589_1559_19156_18523_22825_27413_33754_21709_47209_7781_2573_39928_20785_24768_7963,23_24_96_72_78_78_107_98_96_67_123_24_24 24_21_78_24_107_67 24_23_96_21_1 67_23_67_31_96_24_78_24_24_67_38_38_38 91_3_3_3_107_48_48_57_20_120_120_120_24 23_72_38_67_78_96_24_24_123_24_96_120_120_120_120_120_120_120_24_107_67 23_72_107_78_107_67_24_24_120_120_120_24_24_31 23_117_24_31_78_24_78_120_120_120_96_49_31_42_123_110 23_24_72_107_42_21_3_3_3_120_120_120_120_120_120_120_24_78_38_38_38_38_38_38_38_38 24_72_24_120_120_120_120_42_66 23_66_107_120_120_120_120_120_78_107_67_78_24_42_14 23_24_120_120_120_120_94_107_115_24_117_120_96_96_120_107_88_88_93 96_23_95_17_17_117_24_24_112 24_107_120_120_120_24_31_120_115_24_21_66_24_21_88_58,19_4_20_13_19_19_19_7_20_20_4_4_4 4_16_19_4_19_20 4_19_20_16_20 20_19_20_7_20_4_19_4_4_20_1_1_1 16_19_19_19_19_14_14_14_11_16_16_16_4 19_13_1_20_19_20_4_4_4_4_20_16_16_16_16_16_16_16_4_19_20 19_13_19_19_19_20_4_4_16_16_16_4_4_7 19_19_4_7_19_4_19_16_16_16_20_12_7_1_4_13 19_4_13_19_1_16_19_19_19_16_16_16_16_16_16_16_4_19_1_1_1_1_1_1_1_1 4_13_4_16_16_16_16_1_6 19_6_19_16_16_16_16_16_19_19_20_19_4_1_20 19_4_16_16_16_16_7_19_7_4_19_16_20_20_16_19_13_13_3 20_19_15_13_13_19_4_4_3 4_19_16_16_16_4_7_16_7_4_16_6_4_16_13_1,0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
3,1374495 444309 3002854 2037211 2710558 1972919 1839752 3225766 3160850 676467 521107 1402502,1 2 3 4 5 6 7 8 9 10 11 12,9387_17668_15143_16797_39190_47766_21903_39922_24810_32402 38596_21903_248_40604_8021_17668_21137_23650_32402 39190_47766_21903_49683_28373_7503 1819_12845_9387_16965_24010 39190_9387_17668_47766_16965_28373_21903_22035_42265_18370_44683 22035_39190_9387_47766_1819_24810_14992_44683 39190_1819_21903_43961_16797_24010_14992_18599_9387 39190_22035_43961_18599_21903_47766_42557_48523 39190_47766_16797_43961_48523 18599_17668_47766_39190_1005_32402 39190_47766_21903_43961_17668 39190_18599_23650_21903_47766_24810,24_91_24_24_91_24_123_123_78_78 108_123_117_21_54_91_24_115_78 91_24_123_83_13_117 88_117_24_37_52 91_24_91_24_37_13_123_21_123_21_83 21_91_24_24_88_78_83_83 91_88_123_123_24_52_83_4_24 91_21_123_4_123_24_88_37 91_24_24_123_37 4_91_24_91_94_78 91_24_123_123_91 91_4_115_123_24_78,4_16_4_4_16_4_4_4_19_19 16_4_19_16_17_16_4_7_19 16_4_4_4_20_19 13_19_4_1_1 16_4_16_4_1_20_4_16_4_16_4 16_16_4_4_13_19_4_4 16_13_4_4_4_1_4_9_4 16_16_4_9_4_4_13_1 16_4_4_4_1 9_16_4_16_7_19 16_4_4_4_16 16_9_7_4_4_19,0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0
4,3343014 2030307 691089 94891 2557754,1 2 3 4 5,36606_7350_35469_2707 42329_7160 1200_17769_43704_37646_11865_35469_19057 22199_25146 26576_25623_21573,112_115_38_74 28_111 69_77_128_24_38_38_24 134_31 107_67_67,3_7_1_17 5_17 15_7_3_4_1_1_4 5_7 19_20_20,0_0_0_0 0_0 0_0_0_0_0_0_0 0_0 0_0_0
5,2717275 1909121 2267326 157374,1 2 3 4,15349_21413_48775_28289_8518_11777_31717_26604_43693_22475_24535 43693_6808_24535_11777_21616_18761_26604_13870_13988 26604_11777_20754_24231_40706 27344_24535_43693_40706_16168_21413_13988_3376_8518_26604_11777_5999,29_66_83_123_83_123_16_24_84_83_120 84_12_120_123_123_19_24_107_83 24_123_37_37_123 96_120_84_123_86_66_83_81_83_24_123_21,13_6_4_4_4_4_4_4_16_4_16 16_9_16_4_4_13_4_19_4 4_4_1_1_4 20_16_16_4_16_6_4_15_4_4_4_16,0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0
6,2086598 298250 998866,1 2 3,27521_38293_21903_48679 38293_20323_40992_21903_45007_11068_10644 49401_25659_8424,83_35_123_83 35_81_81_123_83_21_19 69_91_83,4_12_4_4 12_15_15_4_4_16_13 15_16_4,0_0_0_0 0_0_0_0_0_0_0 0_0_0
7,2565571 2402008 121053 1695742 3321109 1682003 1014379 776265 2507052 1396119 565870 3239072 1175028 3060817 3120740 2425840 23391 2984707 369015 2452257,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20,45628_39275_6361_45066_13249_31683_519_37999_49508_29871_22963_14332 4920_37602_29871_22963_19019_6361_31683_17638_40852_27690_9598_15581_45537_13198_8518_274_43967_42803_30391_19678_31343 10895_14267_39121_42828_45066_37999_45628_37602_29871_22963_19019_6361_31683_519_49508_17638_40852_27690_9598_15581_45537_13198_43967_30391 47272_29993_21137_13802_37999_14332_37602_6361_31683_17638_40852_27690_13198_43967_42803_19678 47272_49235_21137_37999_37602_19019_6361_17638_40852_42803 26346_21137_42803 8518 10895_39275_37602_31683_17638_13198_43967_42803 29993_39121_45628_39275_4920_37602_31683_40852_45537_30391 10895_45628_4920_17638_40852_43967_30391 21137_45628_4920_37602_31683_17638_40852_13198_42803 39121_17638_40852_31343 21137_39275_37602_8277_17638_40852_13198_43967_30391 21137_37602_40852_30391 32177_33740_8277_21137_4920_22742_29602_13176_46969_21298 37602_40852_21137_17638_42265_22000_35333_10504_45066_4920_43352_25199_12196_15592_18382_23712_4945 13198_42803_8277_37602_40852_4920_4945_17638_11520_32177_27344 35333_44661_26209_27156_8518_31717_29894_22000_23516_4945_47623_18880_45066 47272_37999_21137_12196_23712 47272_29993_31683_27690_9598_13198_30391_37602_21137_40852_15592_32177,120_123_112_24_84_31_31_31_31_96_96_72 123_26_96_96_96_112_31_26_91_50_99_23_78_122_83_87_31_50_83_83_21 21_59_38_108_24_31_120_26_96_96_96_112_31_31_31_26_91_50_99_23_78_122_31_83 31_84_24_36_31_72_26_112_31_26_91_50_122_31_50_83 31_53_24_31_26_96_112_26_91_50 84_24_50 83 21_123_26_31_26_122_31_50 84_38_120_123_123_26_31_91_78_83 21_120_123_26_91_31_83 24_120_123_26_31_26_91_122_50 38_26_91_21 24_123_26_24_26_91_122_31_83 24_26_91_83 24_24_24_24_123_98_40_24_24_37 26_91_24_26_123_72_104_83_24_123_32_1_13_123_78_78_123 122_50_24_26_91_123_123_26_86_24_96 104_83_24_59_83_16_17_72_17_123_104_69_24 31_31_24_13_78 31_84_31_50_99_122_83_26_24_91_123_24,16_4_3_4_16_7_7_7_7_20_20_13 4_7_20_20_20_3_7_7_16_19_15_19_19_12_4_17_7_19_4_4_16 16_15_1_16_4_7_16_7_20_20_20_3_7_7_7_7_16_19_15_19_19_12_7_4 7_16_4_16_7_13_7_3_7_7_16_19_12_7_19_4 7_16_4_7_7_20_3_7_16_19 16_4_19 4 16_4_7_7_7_12_7_19 16_1_16_4_4_7_7_16_19_4 16_16_4_7_16_7_4 4_16_4_7_7_7_16_12_19 1_7_16_16 4_4_7_4_7_16_12_7_4 4_7_16_4 4_4_4_4_4_7_8_4_4_1 7_16_4_7_4_13_13_4_4_4_4_20_20_4_19_19_4 12_19_4_7_16_4_4_7_16_4_20 13_4_4_15_4_4_13_13_13_4_13_15_4 7_7_4_20_19 7_16_7_19_15_12_4_7_4_16_4_4,0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0 0_0_0 0 0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0 0_0_0_0_0_0_0_0_0 0_0_0_0 0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0
8,600894 2979257 2570360,1 2 3,21903_28985_6473_39110_39812_20920_32030_24838_2078_651_16349_49533_17794_23400_1529_6141_44099_23165_34190_9839_14992 9839_14992_26882_2078_42736_18531_17794_32197_11136_34358_23165_21903_28985_32030_43295 23165_2078_4799_33640_10644_41540_15143_34358_15937_17794_8193_18479_18531,123_83_24_104_16_16_21_91_36_36_83_17_83_81_16_69_63_83_66_83_83 83_83_83_36_36_53_83_83_69_83_83_123_83_21_91 83_36_21_59_19_83_24_83_83_83_83_69_53,4_4_4_13_4_4_16_16_16_16_4_13_4_15_4_15_9_4_6_4_4 4_4_4_16_16_16_4_4_15_4_4_4_4_16_16 4_16_16_15_13_4_4_4_4_4_4_15_16,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0
9,280530 2762092 1830137,1 2 3,27973_481_27966_33754_4957_13351_40571_38159_38277_5194_5002_13740_26790_6489_16154_27690_45045_19627_43875_45767_47167_16018_8952_7952_311_21108_11790_23592_42828_31066 24341_38159_27966_18926_4957_26604_8834_33787_27973_30252_29594 8834_30252_24341_27973_29594_18926_45767_6489_33754_40571_42828_481_26604_17600_2732_12075_27596_10132_24954_1559_8467_30967_24952_34448_39409_20899_21462_41844_23765_42347_38277_38988_27555_3634_38777,120_104_123_120_120_120_120_24_91_50_3_50_99_107_78_50_92_92_92_92_92_50_130_106_52_77_17_17_108_85 31_24_123_120_120_24_115_120_120_112_120 115_112_31_120_120_120_92_107_120_120_108_104_24_120_107_67_67_21_120_120_112_121_107_50_77_120_77_121_96_77_91_93_107_107_123,16_13_4_16_16_16_16_4_16_19_19_19_15_19_19_19_18_18_18_18_18_19_14_12_1_7_13_13_16_17 7_4_4_16_16_4_7_16_16_3_16 7_3_7_16_16_16_18_19_16_16_16_13_4_16_19_20_20_16_16_16_3_14_19_19_7_16_7_14_20_7_16_3_19_19_4,0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
10,1224907 68288 2115522 83395 1353310,1 2 3 4 5,46979_24852_27104_16797_31717 46979_47380_20995_43014_15011_27156_13512_40604_13198_9339_5646_28986_27104_41220_22825_34358_44910_15290_14992_36695_47042_23165_15937_25931_5818_1529_32537_11782_30489_36735_18441_15392_7632_32299_48204_28535_34128_8988_13212_7746_35973_35725_45664_16857_31506_47526 47380_5769_13629_40706_45007_44359_17794_19678_5450_26940_48775_21174_18656_30305_37687_43352_26209_47626_16797_4920_39877_47788_34126_28842_21833_42342_28928_28535_30489_11068_47526_42736_13083 30489_47591_24184_260_9339_38293_17828_9871_46979_28535_47526_19019_23879_40604_22035_36865_31506_13829_23541_28842_42625_1529_20920_42647_25931_20632_40706_47042_16797_16185 30489_47591_24184_260_9339_17828_9871_46979_28535_47526_19019_23879_40604_22035_36865_31506_13829_23541_28842_42625_1529_20920_42647_25931_20632_40706_47042_16797_16185,83_24_83_24_16 83_15_116_123_107_59_96_21_122_106_106_106_83_83_24_83_123_83_83_83_83_83_83_123_83_16_16_24_67_96_72_72_72_72_66_51_67_104_104_104_104_104_104_89_19_21 15_69_83_123_83_83_83_83_24_83_83_123_83_83_123_32_24_24_24_123_24_24_16_16_16_96_96_51_67_21_21_36_108 67_96_83_24_106_35_106_122_83_51_21_96_96_21_21_120_19_51_5_16_16_16_16_16_123_123_123_83_24_21 67_96_83_24_106_106_122_83_51_21_96_96_21_21_120_19_51_5_16_16_16_16_16_123_123_123_83_24_21,4_4_4_4_4 4_12_1_4_19_15_20_16_12_12_12_12_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_20_20_13_13_13_13_6_13_20_13_13_13_13_13_13_13_13_16 12_15_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_4_20_20_13_20_16_16_16_16 20_20_4_4_12_12_12_12_4_13_16_20_20_16_16_16_13_13_13_4_4_4_4_4_4_4_4_4_4_16 20_20_4_4_12_12_12_4_13_16_20_20_16_16_16_13_13_13_4_4_4_4_4_4_4_4_4_4_16,0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0 0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0_0
